,current_popularity,datetime,time_bin
536,21,4/8/2020 11:13,4/8/2020 11:05
537,20,4/8/2020 11:23,4/8/2020 11:20
538,21,4/8/2020 11:33,4/8/2020 11:20
539,20,4/8/2020 11:43,4/8/2020 11:35
540,23,4/8/2020 11:53,4/8/2020 11:50
541,22,4/8/2020 12:03,4/8/2020 11:50
542,21,4/8/2020 12:13,4/8/2020 12:05
543,21,4/8/2020 12:23,4/8/2020 12:20
544,23,4/8/2020 12:33,4/8/2020 12:20
545,23,4/8/2020 12:43,4/8/2020 12:35
546,27,4/8/2020 12:53,4/8/2020 12:50
547,27,4/8/2020 13:03,4/8/2020 12:50
548,25,4/8/2020 13:13,4/8/2020 13:05
549,26,4/8/2020 13:23,4/8/2020 13:20
550,28,4/8/2020 13:33,4/8/2020 13:20
551,28,4/8/2020 13:43,4/8/2020 13:35
552,34,4/8/2020 13:53,4/8/2020 13:50
553,34,4/8/2020 14:03,4/8/2020 13:50
554,31,4/8/2020 14:13,4/8/2020 14:05
555,32,4/8/2020 14:23,4/8/2020 14:20
556,30,4/8/2020 14:33,4/8/2020 14:20
557,34,4/8/2020 14:43,4/8/2020 14:35
558,38,4/8/2020 14:53,4/8/2020 14:50
559,36,4/8/2020 15:04,4/8/2020 14:50
560,33,4/8/2020 15:14,4/8/2020 15:05
561,33,4/8/2020 15:24,4/8/2020 15:20
562,32,4/8/2020 15:34,4/8/2020 15:20
563,34,4/8/2020 15:44,4/8/2020 15:35
564,41,4/8/2020 15:54,4/8/2020 15:50
565,37,4/8/2020 16:04,4/8/2020 15:50
566,35,4/8/2020 16:14,4/8/2020 16:05
567,34,4/8/2020 16:24,4/8/2020 16:20
568,32,4/8/2020 16:34,4/8/2020 16:20
569,36,4/8/2020 16:44,4/8/2020 16:35
570,43,4/8/2020 16:54,4/8/2020 16:50
571,40,4/8/2020 17:04,4/8/2020 16:50
572,37,4/8/2020 17:14,4/8/2020 17:05
573,38,4/8/2020 17:24,4/8/2020 17:20
574,36,4/8/2020 17:34,4/8/2020 17:20
575,42,4/8/2020 17:44,4/8/2020 17:35
576,48,4/8/2020 17:54,4/8/2020 17:50
577,46,4/8/2020 18:04,4/8/2020 17:50
578,43,4/8/2020 18:14,4/8/2020 18:05
579,43,4/8/2020 18:24,4/8/2020 18:20
580,40,4/8/2020 18:34,4/8/2020 18:20
581,44,4/8/2020 18:44,4/8/2020 18:35
582,43,4/8/2020 18:54,4/8/2020 18:50
583,47,4/8/2020 19:04,4/8/2020 18:50
584,43,4/8/2020 19:15,4/8/2020 19:05
585,38,4/8/2020 19:25,4/8/2020 19:20
586,37,4/8/2020 19:35,4/8/2020 19:35
587,37,4/8/2020 19:45,4/8/2020 19:35
588,34,4/8/2020 19:55,4/8/2020 19:50
589,34,4/8/2020 20:05,4/8/2020 20:05
590,30,4/8/2020 20:15,4/8/2020 20:05
591,26,4/8/2020 20:25,4/8/2020 20:20
592,23,4/8/2020 20:35,4/8/2020 20:35
593,21,4/8/2020 20:45,4/8/2020 20:35
594,17,4/8/2020 20:55,4/8/2020 20:50
595,18,4/8/2020 21:05,4/8/2020 21:05
596,6,4/9/2020 6:05,4/9/2020 6:05
597,6,4/9/2020 6:15,4/9/2020 6:05
598,6,4/9/2020 6:25,4/9/2020 6:20
599,6,4/9/2020 6:35,4/9/2020 6:35
600,7,4/9/2020 6:45,4/9/2020 6:35
601,9,4/9/2020 6:55,4/9/2020 6:50
602,10,4/9/2020 7:05,4/9/2020 7:05
603,10,4/9/2020 7:15,4/9/2020 7:05
604,11,4/9/2020 7:25,4/9/2020 7:20
605,12,4/9/2020 7:35,4/9/2020 7:35
606,13,4/9/2020 7:45,4/9/2020 7:35
607,16,4/9/2020 7:55,4/9/2020 7:50
608,16,4/9/2020 8:05,4/9/2020 8:05
609,16,4/9/2020 8:15,4/9/2020 8:05
610,16,4/9/2020 8:25,4/9/2020 8:20
611,16,4/9/2020 8:35,4/9/2020 8:35
612,18,4/9/2020 8:45,4/9/2020 8:35
613,21,4/9/2020 8:55,4/9/2020 8:50
614,20,4/9/2020 9:05,4/9/2020 9:05
615,19,4/9/2020 9:15,4/9/2020 9:05
616,18,4/9/2020 9:25,4/9/2020 9:20
617,18,4/9/2020 9:35,4/9/2020 9:35
618,19,4/9/2020 9:46,4/9/2020 9:35
619,20,4/9/2020 9:56,4/9/2020 9:50
620,17,4/9/2020 10:06,4/9/2020 10:05
621,16,4/9/2020 10:16,4/9/2020 10:05
622,15,4/9/2020 10:26,4/9/2020 10:20
623,16,4/9/2020 10:36,4/9/2020 10:35
624,17,4/9/2020 10:46,4/9/2020 10:35
625,16,4/9/2020 10:56,4/9/2020 10:50
626,16,4/9/2020 11:06,4/9/2020 11:05
627,15,4/9/2020 11:16,4/9/2020 11:05
628,14,4/9/2020 11:26,4/9/2020 11:20
629,15,4/9/2020 11:36,4/9/2020 11:35
630,16,4/9/2020 11:46,4/9/2020 11:35
631,15,4/9/2020 11:56,4/9/2020 11:50
632,18,4/9/2020 12:06,4/9/2020 12:05
633,17,4/9/2020 12:16,4/9/2020 12:05
634,16,4/9/2020 12:26,4/9/2020 12:20
635,16,4/9/2020 12:36,4/9/2020 12:35
636,18,4/9/2020 12:46,4/9/2020 12:35
637,18,4/9/2020 12:56,4/9/2020 12:50
638,21,4/9/2020 13:06,4/9/2020 13:05
639,20,4/9/2020 13:16,4/9/2020 13:05
640,19,4/9/2020 13:26,4/9/2020 13:20
641,19,4/9/2020 13:37,4/9/2020 13:35
642,21,4/9/2020 13:47,4/9/2020 13:35
643,21,4/9/2020 13:57,4/9/2020 13:50
644,20,4/9/2020 14:07,4/9/2020 14:05
645,18,4/9/2020 14:17,4/9/2020 14:05
646,18,4/9/2020 14:27,4/9/2020 14:20
647,19,4/9/2020 14:37,4/9/2020 14:35
648,20,4/9/2020 14:47,4/9/2020 14:35
649,20,4/9/2020 14:57,4/9/2020 14:50
650,18,4/9/2020 15:07,4/9/2020 15:05
651,16,4/9/2020 15:17,4/9/2020 15:05
652,17,4/9/2020 15:27,4/9/2020 15:20
653,18,4/9/2020 15:37,4/9/2020 15:35
654,17,4/9/2020 15:47,4/9/2020 15:35
655,20,4/9/2020 15:57,4/9/2020 15:50
656,17,4/9/2020 16:07,4/9/2020 16:05
657,16,4/9/2020 16:17,4/9/2020 16:05
658,16,4/9/2020 16:27,4/9/2020 16:20
659,17,4/9/2020 16:37,4/9/2020 16:35
660,17,4/9/2020 16:47,4/9/2020 16:35
661,21,4/9/2020 16:57,4/9/2020 16:50
662,19,4/9/2020 17:07,4/9/2020 17:05
