,current_popularity,datetime,time_bin
122,17,4/3/2020 17:50,4/3/2020 17:50
123,21,4/3/2020 18:00,4/3/2020 17:50
124,19,4/3/2020 18:10,4/3/2020 18:05
125,17,4/3/2020 18:20,4/3/2020 18:20
126,17,4/3/2020 18:30,4/3/2020 18:20
127,19,4/3/2020 18:40,4/3/2020 18:35
128,18,4/3/2020 18:50,4/3/2020 18:50
129,20,4/3/2020 19:00,4/3/2020 18:50
130,18,4/3/2020 19:11,4/3/2020 19:05
131,16,4/3/2020 19:21,4/3/2020 19:20
132,17,4/3/2020 19:31,4/3/2020 19:20
133,17,4/3/2020 19:41,4/3/2020 19:35
134,17,4/3/2020 19:51,4/3/2020 19:50
135,19,4/3/2020 20:01,4/3/2020 19:50
136,17,4/3/2020 20:11,4/3/2020 20:05
137,15,4/3/2020 20:21,4/3/2020 20:20
138,15,4/3/2020 20:31,4/3/2020 20:20
139,13,4/3/2020 20:41,4/3/2020 20:35
140,14,4/3/2020 20:51,4/3/2020 20:50
141,16,4/3/2020 21:01,4/3/2020 20:50
142,6,4/4/2020 6:01,4/4/2020 5:50
143,6,4/4/2020 6:11,4/4/2020 6:05
144,6,4/4/2020 6:21,4/4/2020 6:20
145,6,4/4/2020 6:31,4/4/2020 6:20
146,7,4/4/2020 6:41,4/4/2020 6:35
147,8,4/4/2020 6:51,4/4/2020 6:50
148,11,4/4/2020 7:01,4/4/2020 6:50
149,10,4/4/2020 7:11,4/4/2020 7:05
150,11,4/4/2020 7:21,4/4/2020 7:20
151,11,4/4/2020 7:31,4/4/2020 7:20
152,12,4/4/2020 7:41,4/4/2020 7:35
153,14,4/4/2020 7:51,4/4/2020 7:50
154,17,4/4/2020 8:01,4/4/2020 7:50
155,16,4/4/2020 8:11,4/4/2020 8:05
156,17,4/4/2020 8:21,4/4/2020 8:20
157,17,4/4/2020 8:31,4/4/2020 8:20
158,19,4/4/2020 8:41,4/4/2020 8:35
159,24,4/4/2020 8:51,4/4/2020 8:50
160,24,4/4/2020 9:01,4/4/2020 8:50
161,24,4/4/2020 9:11,4/4/2020 9:05
162,25,4/4/2020 9:21,4/4/2020 9:20
163,25,4/4/2020 9:31,4/4/2020 9:20
164,28,4/4/2020 9:42,4/4/2020 9:35
165,32,4/4/2020 9:52,4/4/2020 9:50
166,30,4/4/2020 10:02,4/4/2020 9:50
167,28,4/4/2020 10:12,4/4/2020 10:05
168,28,4/4/2020 10:22,4/4/2020 10:20
169,27,4/4/2020 10:32,4/4/2020 10:20
170,29,4/4/2020 10:42,4/4/2020 10:35
171,33,4/4/2020 10:52,4/4/2020 10:50
172,31,4/4/2020 11:02,4/4/2020 10:50
173,29,4/4/2020 11:12,4/4/2020 11:05
174,29,4/4/2020 11:22,4/4/2020 11:20
175,28,4/4/2020 11:32,4/4/2020 11:20
176,33,4/4/2020 11:42,4/4/2020 11:35
177,40,4/4/2020 11:52,4/4/2020 11:50
178,41,4/4/2020 12:02,4/4/2020 11:50
179,39,4/4/2020 12:12,4/4/2020 12:05
180,39,4/4/2020 12:22,4/4/2020 12:20
181,38,4/4/2020 12:32,4/4/2020 12:20
182,42,4/4/2020 12:42,4/4/2020 12:35
183,42,4/4/2020 12:52,4/4/2020 12:50
184,47,4/4/2020 13:02,4/4/2020 12:50
185,44,4/4/2020 13:12,4/4/2020 13:05
186,41,4/4/2020 13:22,4/4/2020 13:20
187,43,4/4/2020 13:32,4/4/2020 13:20
188,48,4/4/2020 13:42,4/4/2020 13:35
189,48,4/4/2020 13:52,4/4/2020 13:50
190,51,4/4/2020 14:02,4/4/2020 13:50
191,47,4/4/2020 14:12,4/4/2020 14:05
192,43,4/4/2020 14:22,4/4/2020 14:20
193,45,4/4/2020 14:33,4/4/2020 14:20
194,50,4/4/2020 14:43,4/4/2020 14:35
195,50,4/4/2020 14:53,4/4/2020 14:50
196,54,4/4/2020 15:03,4/4/2020 14:50
197,51,4/4/2020 15:13,4/4/2020 15:05
198,48,4/4/2020 15:23,4/4/2020 15:20
199,53,4/4/2020 15:33,4/4/2020 15:20
200,62,4/4/2020 15:43,4/4/2020 15:35
201,63,4/4/2020 15:53,4/4/2020 15:50
202,69,4/4/2020 16:03,4/4/2020 15:50
203,65,4/4/2020 16:13,4/4/2020 16:05
204,59,4/4/2020 16:23,4/4/2020 16:20
205,62,4/4/2020 16:33,4/4/2020 16:20
206,71,4/4/2020 16:43,4/4/2020 16:35
207,71,4/4/2020 16:53,4/4/2020 16:50
208,81,4/4/2020 17:03,4/4/2020 16:50
209,76,4/4/2020 17:13,4/4/2020 17:05
210,70,4/4/2020 17:23,4/4/2020 17:20
211,73,4/4/2020 17:33,4/4/2020 17:20
212,80,4/4/2020 17:43,4/4/2020 17:35
213,79,4/4/2020 17:53,4/4/2020 17:50
214,86,4/4/2020 18:03,4/4/2020 17:50
215,78,4/4/2020 18:13,4/4/2020 18:05
216,70,4/4/2020 18:23,4/4/2020 18:20
217,65,4/4/2020 18:33,4/4/2020 18:20
218,57,4/4/2020 18:44,4/4/2020 18:35
219,57,4/4/2020 18:54,4/4/2020 18:50
220,58,4/4/2020 19:04,4/4/2020 18:50
221,51,4/4/2020 19:14,4/4/2020 19:05
222,46,4/4/2020 19:24,4/4/2020 19:20
223,43,4/4/2020 19:34,4/4/2020 19:20
224,37,4/4/2020 19:44,4/4/2020 19:35
225,36,4/4/2020 19:54,4/4/2020 19:50
226,36,4/4/2020 20:04,4/4/2020 19:50
227,31,4/4/2020 20:14,4/4/2020 20:05
228,27,4/4/2020 20:24,4/4/2020 20:20
229,25,4/4/2020 20:34,4/4/2020 20:20
230,21,4/4/2020 20:44,4/4/2020 20:35
231,20,4/4/2020 20:54,4/4/2020 20:50
232,17,4/4/2020 21:04,4/4/2020 20:50
233,5,4/5/2020 6:04,4/5/2020 5:50
234,5,4/5/2020 6:14,4/5/2020 6:05
235,5,4/5/2020 6:24,4/5/2020 6:20
236,5,4/5/2020 6:34,4/5/2020 6:20
237,5,4/5/2020 6:44,4/5/2020 6:35
238,6,4/5/2020 6:54,4/5/2020 6:50
239,7,4/5/2020 7:04,4/5/2020 6:50
240,7,4/5/2020 7:14,4/5/2020 7:05
241,7,4/5/2020 7:24,4/5/2020 7:20
242,9,4/5/2020 7:34,4/5/2020 7:20
243,9,4/5/2020 7:44,4/5/2020 7:35
244,12,4/5/2020 7:54,4/5/2020 7:50
245,13,4/5/2020 8:04,4/5/2020 7:50
246,12,4/5/2020 8:14,4/5/2020 8:05
247,13,4/5/2020 8:24,4/5/2020 8:20
248,15,4/5/2020 8:34,4/5/2020 8:20
249,16,4/5/2020 8:44,4/5/2020 8:35
250,19,4/5/2020 8:55,4/5/2020 8:50
251,20,4/5/2020 9:05,4/5/2020 9:05
252,20,4/5/2020 9:15,4/5/2020 9:05
253,21,4/5/2020 9:25,4/5/2020 9:20
254,21,4/5/2020 9:35,4/5/2020 9:35
255,24,4/5/2020 9:45,4/5/2020 9:35
256,27,4/5/2020 9:55,4/5/2020 9:50
257,28,4/5/2020 10:05,4/5/2020 10:05
258,27,4/5/2020 10:15,4/5/2020 10:05
259,28,4/5/2020 10:25,4/5/2020 10:20
260,28,4/5/2020 10:35,4/5/2020 10:35
261,31,4/5/2020 10:45,4/5/2020 10:35
262,36,4/5/2020 10:55,4/5/2020 10:50
263,37,4/5/2020 11:05,4/5/2020 11:05
264,35,4/5/2020 11:15,4/5/2020 11:05
265,35,4/5/2020 11:25,4/5/2020 11:20
266,34,4/5/2020 11:35,4/5/2020 11:35
267,36,4/5/2020 11:45,4/5/2020 11:35
268,41,4/5/2020 11:55,4/5/2020 11:50
269,40,4/5/2020 12:05,4/5/2020 12:05
270,38,4/5/2020 12:15,4/5/2020 12:05
271,39,4/5/2020 12:25,4/5/2020 12:20
272,37,4/5/2020 12:35,4/5/2020 12:35
273,40,4/5/2020 12:45,4/5/2020 12:35
274,40,4/5/2020 12:55,4/5/2020 12:50
275,44,4/5/2020 13:05,4/5/2020 13:05
276,42,4/5/2020 13:15,4/5/2020 13:05
277,42,4/5/2020 13:25,4/5/2020 13:20
278,41,4/5/2020 13:35,4/5/2020 13:35
279,45,4/5/2020 13:45,4/5/2020 13:35
280,44,4/5/2020 13:56,4/5/2020 13:50
281,44,4/5/2020 14:06,4/5/2020 14:05
282,42,4/5/2020 14:16,4/5/2020 14:05
283,39,4/5/2020 14:26,4/5/2020 14:20
284,42,4/5/2020 14:36,4/5/2020 14:35
285,48,4/5/2020 14:46,4/5/2020 14:35
286,48,4/5/2020 14:56,4/5/2020 14:50
287,49,4/5/2020 15:06,4/5/2020 15:05
288,47,4/5/2020 15:16,4/5/2020 15:05
289,44,4/5/2020 15:26,4/5/2020 15:20
290,47,4/5/2020 15:36,4/5/2020 15:35
291,56,4/5/2020 15:46,4/5/2020 15:35
292,56,4/5/2020 15:56,4/5/2020 15:50
293,57,4/5/2020 16:06,4/5/2020 16:05
294,54,4/5/2020 16:16,4/5/2020 16:05
295,49,4/5/2020 16:26,4/5/2020 16:20
296,52,4/5/2020 16:36,4/5/2020 16:35
297,56,4/5/2020 16:46,4/5/2020 16:35
298,55,4/5/2020 16:56,4/5/2020 16:50
299,57,4/5/2020 17:06,4/5/2020 17:05
300,53,4/5/2020 17:16,4/5/2020 17:05
301,47,4/5/2020 17:26,4/5/2020 17:20
302,47,4/5/2020 17:36,4/5/2020 17:35
303,50,4/5/2020 17:46,4/5/2020 17:35
304,48,4/5/2020 17:57,4/5/2020 17:50
305,48,4/5/2020 18:07,4/5/2020 18:05
306,44,4/5/2020 18:17,4/5/2020 18:05
307,38,4/5/2020 18:27,4/5/2020 18:20
308,36,4/5/2020 18:37,4/5/2020 18:35
309,36,4/5/2020 18:47,4/5/2020 18:35
310,32,4/5/2020 18:57,4/5/2020 18:50
311,30,4/5/2020 19:07,4/5/2020 19:05
312,26,4/5/2020 19:17,4/5/2020 19:05
313,25,4/5/2020 19:27,4/5/2020 19:20
314,24,4/5/2020 19:37,4/5/2020 19:35
315,22,4/5/2020 19:47,4/5/2020 19:35
316,22,4/5/2020 19:57,4/5/2020 19:50
317,23,4/5/2020 20:07,4/5/2020 20:05
318,19,4/5/2020 20:17,4/5/2020 20:05
319,18,4/5/2020 20:27,4/5/2020 20:20
320,17,4/5/2020 20:37,4/5/2020 20:35
321,15,4/5/2020 20:47,4/5/2020 20:35
322,15,4/5/2020 20:57,4/5/2020 20:50
323,16,4/5/2020 21:07,4/5/2020 21:05
324,5,4/6/2020 6:07,4/6/2020 6:05
325,5,4/6/2020 6:17,4/6/2020 6:05
326,5,4/6/2020 6:27,4/6/2020 6:20
327,6,4/6/2020 6:37,4/6/2020 6:35
328,6,4/6/2020 6:47,4/6/2020 6:35
329,8,4/6/2020 6:57,4/6/2020 6:50
330,8,4/6/2020 7:07,4/6/2020 7:05
331,9,4/6/2020 7:17,4/6/2020 7:05
332,10,4/6/2020 7:27,4/6/2020 7:20
333,10,4/6/2020 7:37,4/6/2020 7:35
334,13,4/6/2020 7:47,4/6/2020 7:35
335,16,4/6/2020 7:57,4/6/2020 7:50
336,16,4/6/2020 8:07,4/6/2020 8:05
337,15,4/6/2020 8:17,4/6/2020 8:05
